iter	RMSE
0	196.2301409
1	196.2250191
2	196.182677
3	193.9682968
4	193.359608
5	191.2254305
6	189.1745417
7	187.2036102
8	187.0894233
9	187.0859548
10	185.1983834
11	185.1961485
12	183.3838355
13	181.6445213
14	181.0998526
15	179.4252513
16	178.9609351
17	177.3496563
18	176.9541248
19	176.6205073
20	175.0695098
21	173.5825068
22	172.1566169
23	172.155148
24	170.7888596
25	170.4980468
26	169.1869048
27	167.9306614
28	167.4679607
29	166.2861326
30	166.2786968
31	166.0269113
32	166.0247253
33	164.8909244
34	163.8059715
35	162.7687911
36	161.7760343
37	161.7680451
38	160.8191907
39	159.9109419
40	159.0424976
41	159.0353299
42	159.0347568
43	158.2058166
44	158.0963701
45	158.0961823
46	157.309953
47	157.2934955
48	157.0734707
49	157.0732313
50	156.3191481
51	155.5993416
52	154.913344
53	154.8536619
54	154.1968007
55	153.5699378
56	153.3900683
57	153.2891976
58	152.8249192
59	152.711263
60	152.7112108
61	152.1459771
62	152.1450534
63	152.1449678
64	151.6012921
65	151.0868564
66	151.0863044
67	150.5956612
68	150.5956258
69	150.5955918
70	150.1256489
71	149.970793
72	149.8832137
73	149.8830797
74	149.8829632
75	149.7524649
76	149.7524174
77	149.7524111
78	149.7495269
79	149.7491127
80	149.7421368
81	149.7420526
82	149.7419798
83	149.3000586
84	148.8743426
85	148.8743295
86	148.5819586
87	148.581958
88	148.5818178
89	148.5811669
90	148.580976
91	148.5805105
92	148.1932637
93	148.1857088
94	148.1852379
95	148.1849778
96	147.8113089
97	147.4565662
98	147.4565225
99	147.4564611
100	147.1214236
101	146.8008742
102	146.7564017
103	146.6537271
104	146.3464678
105	146.0555275
106	146.0554456
107	145.9684534
108	145.9684129
109	145.9683717
110	145.9683493
111	145.6919833
112	145.6917198
113	145.6908944
114	145.690519
115	145.6900663
116	145.4268103
117	145.4267027
118	145.424264
119	145.4220677
120	145.4139574
121	145.3229506
122	145.0745499
123	145.073936
124	144.840531
125	144.6183052
126	144.6182452
127	144.618186
128	144.6155053
129	144.6154801
130	144.6154604
131	144.4040433
132	144.2027518
133	144.0111575
134	143.8271197
135	143.6534758
136	143.6529765
137	143.4877704
138	143.4873533
139	143.4871979
140	143.3300176
141	143.2572841
142	143.2572721
143	143.105619
144	143.0443379
145	143.042195
146	142.8996872
147	142.8992691
148	142.7636643
149	142.7635231
150	142.6344926
151	142.5117389
152	142.5116366
153	142.3948402
154	142.342232
155	142.231067
156	142.1253096
157	142.0246833
158	141.9289758
159	141.8379479
160	141.7513604
161	141.7512103
162	141.6688496
163	141.590506
164	141.5159802
165	141.4451024
166	141.3776753
167	141.3135649
168	141.3130467
169	141.3128546
170	141.2518896
171	141.1939071
172	141.1387662
173	141.0863334
174	141.0841182
175	141.0342559
176	141.0341559
177	140.9867358
178	140.9416429
179	140.9405287
180	140.897647
181	140.897493
182	140.8545475
183	140.8544118
184	140.8540148
185	140.8539085
