iter	Passed	Remaining
0	164	164548
1	184	92102
2	209	69781
3	234	58281
4	255	50858
5	278	46161
6	300	42641
7	322	40036
8	346	38175
9	367	36382
10	391	35198
11	411	33882
12	434	32958
13	452	31866
14	473	31104
15	496	30554
16	518	29953
17	539	29444
18	559	28900
19	582	28547
20	605	28244
21	629	27994
22	652	27728
23	674	27438
24	697	27211
25	721	27015
26	744	26815
27	766	26621
28	788	26412
29	811	26249
30	832	26032
31	855	25874
32	879	25773
33	902	25648
34	925	25519
35	946	25348
36	968	25195
37	989	25043
38	1010	24889
39	1031	24753
40	1052	24627
41	1076	24545
42	1098	24450
43	1121	24372
44	1143	24261
45	1157	24006
46	1179	23907
47	1201	23827
48	1223	23739
49	1243	23626
50	1266	23575
51	1288	23488
52	1310	23418
53	1332	23340
54	1354	23267
55	1375	23185
56	1397	23126
57	1419	23055
58	1443	23028
59	1465	22963
60	1481	22805
61	1504	22767
62	1530	22756
63	1552	22700
64	1573	22628
65	1596	22592
66	1617	22529
67	1639	22464
68	1652	22300
69	1672	22216
70	1694	22167
71	1716	22117
72	1740	22097
73	1764	22076
74	1782	21987
75	1804	21938
76	1821	21835
77	1836	21714
78	1859	21683
79	1881	21634
80	1904	21604
81	1922	21520
82	1944	21486
83	1966	21440
84	1988	21407
85	2012	21388
86	2033	21344
87	2046	21207
88	2068	21168
89	2090	21136
90	2115	21129
91	2139	21112
92	2160	21074
93	2182	21033
94	2204	21003
95	2226	20967
96	2247	20925
97	2270	20899
98	2291	20856
99	2314	20833
100	2337	20802
101	2359	20776
102	2386	20782
103	2410	20767
104	2431	20726
105	2453	20688
106	2474	20654
107	2497	20628
108	2519	20593
109	2541	20562
110	2560	20507
111	2583	20480
112	2605	20455
113	2629	20433
114	2651	20402
115	2672	20365
116	2693	20330
117	2715	20297
118	2739	20278
119	2762	20254
120	2784	20228
121	2805	20188
122	2828	20166
123	2850	20136
124	2872	20109
125	2894	20075
126	2919	20067
127	2940	20034
128	2963	20009
129	2979	19942
130	3001	19913
131	3025	19897
132	3048	19871
133	3069	19836
134	3091	19805
135	3112	19774
136	3134	19746
137	3158	19729
138	3182	19712
139	3204	19686
140	3223	19635
141	3246	19615
142	3262	19553
143	3283	19521
144	3306	19499
145	3329	19474
146	3352	19453
147	3374	19427
148	3396	19398
149	3418	19370
150	3440	19344
151	3463	19323
152	3485	19295
153	3506	19264
154	3530	19245
155	3552	19221
156	3575	19197
157	3597	19169
158	3619	19143
159	3642	19123
160	3664	19097
161	3688	19077
162	3711	19057
163	3734	19036
164	3756	19007
165	3778	18985
166	3808	18995
167	3830	18968
168	3856	18964
169	3883	18961
170	3910	18955
171	3937	18953
172	3962	18940
173	3986	18924
174	4013	18922
175	4034	18890
176	4058	18869
177	4083	18855
178	4106	18832
179	4132	18823
180	4155	18804
181	4179	18784
182	4203	18767
183	4227	18746
184	4252	18735
185	4275	18713
186	4303	18709
187	4331	18708
188	4361	18715
189	4389	18713
190	4419	18718
191	4448	18720
192	4473	18705
193	4499	18694
194	4527	18691
195	4553	18680
196	4578	18662
197	4604	18648
198	4629	18636
199	4654	18618
200	4680	18604
201	4702	18576
202	4732	18581
203	4752	18544
204	4778	18531
205	4803	18514
206	4827	18492
207	4850	18468
208	4874	18448
209	4900	18436
210	4924	18414
211	4949	18396
212	4972	18371
213	4993	18339
214	5014	18308
215	5034	18274
216	5058	18253
217	5083	18234
218	5103	18201
219	5127	18179
220	5149	18150
221	5172	18127
222	5197	18108
223	5222	18091
224	5245	18067
225	5270	18051
226	5296	18035
227	5322	18022
228	5347	18004
229	5374	17993
230	5400	17977
231	5422	17951
232	5448	17936
233	5473	17918
234	5497	17897
235	5522	17877
236	5545	17851
237	5567	17825
238	5593	17811
239	5620	17796
240	5645	17781
241	5671	17765
242	5694	17741
243	5718	17719
244	5744	17702
245	5773	17694
246	5795	17668
247	5818	17643
248	5842	17622
249	5868	17605
250	5894	17590
251	5917	17564
252	5946	17557
253	5971	17539
254	5996	17519
255	6024	17508
256	6045	17476
257	6069	17454
258	6095	17438
259	6118	17413
260	6143	17394
261	6165	17368
262	6189	17343
263	6210	17314
264	6234	17291
265	6260	17275
266	6283	17249
267	6305	17222
268	6327	17195
269	6350	17170
270	6373	17146
271	6398	17125
272	6420	17097
273	6442	17069
274	6463	17039
275	6485	17013
276	6509	16990
277	6534	16970
278	6557	16944
279	6580	16922
280	6604	16899
281	6628	16877
282	6653	16856
283	6676	16832
284	6699	16807
285	6723	16785
286	6747	16763
287	6769	16735
288	6793	16712
289	6815	16685
290	6837	16659
291	6860	16635
292	6881	16603
293	6903	16576
294	6925	16550
295	6948	16525
296	6973	16505
297	6994	16477
298	7017	16452
299	7040	16427
300	7061	16397
301	7083	16372
302	7110	16357
303	7136	16338
304	7159	16314
305	7184	16295
306	7208	16272
307	7232	16249
308	7257	16229
309	7282	16208
310	7304	16183
311	7325	16153
312	7349	16131
313	7372	16106
314	7395	16081
315	7419	16060
316	7443	16037
317	7466	16013
318	7488	15987
319	7511	15962
320	7535	15939
321	7557	15913
322	7581	15891
323	7608	15875
324	7632	15851
325	7659	15835
326	7683	15813
327	7706	15788
328	7732	15770
329	7754	15744
330	7779	15722
331	7801	15696
332	7825	15675
333	7850	15653
334	7875	15633
335	7901	15614
336	7924	15591
337	7950	15571
338	7977	15555
339	8007	15543
340	8031	15520
341	8058	15504
342	8083	15483
343	8109	15463
344	8133	15441
345	8157	15418
346	8180	15393
347	8205	15372
348	8230	15351
349	8255	15330
350	8282	15313
351	8306	15291
352	8331	15270
353	8358	15253
354	8384	15234
355	8406	15207
356	8435	15192
357	8457	15166
358	8480	15142
359	8501	15113
360	8524	15089
361	8549	15067
362	8572	15043
363	8593	15015
364	8614	14986
365	8636	14959
366	8657	14932
367	8680	14906
368	8702	14881
369	8725	14856
370	8748	14832
371	8776	14815
372	8806	14803
373	8846	14807
374	8882	14804
375	8917	14798
376	8943	14779
377	8968	14758
378	8995	14738
379	9022	14720
380	9048	14700
381	9070	14674
382	9096	14653
383	9120	14630
384	9146	14609
385	9172	14589
386	9193	14562
387	9216	14536
388	9242	14516
389	9265	14492
390	9289	14468
391	9315	14448
392	9345	14434
393	9374	14418
394	9402	14401
395	9428	14380
396	9452	14357
397	9476	14333
398	9501	14311
399	9525	14288
400	9550	14266
401	9574	14242
402	9602	14224
403	9632	14210
404	9658	14190
405	9683	14167
406	9707	14143
407	9731	14120
408	9755	14096
409	9778	14071
410	9800	14044
411	9841	14046
412	9872	14032
413	9913	14031
414	9945	14019
415	9979	14009
416	10012	13998
417	10039	13977
418	10064	13956
419	10088	13931
420	10114	13910
421	10141	13891
422	10168	13870
423	10194	13849
424	10220	13827
425	10247	13807
426	10273	13786
427	10307	13775
428	10334	13755
429	10368	13744
430	10399	13728
431	10428	13711
432	10459	13695
433	10484	13673
434	10511	13653
435	10540	13635
436	10565	13611
437	10590	13588
438	10615	13565
439	10640	13541
440	10664	13518
441	10690	13496
442	10717	13476
443	10745	13455
444	10767	13428
445	10793	13407
446	10823	13389
447	10850	13369
448	10882	13354
449	10917	13343
450	10947	13326
451	10974	13305
452	10998	13280
453	11021	13255
454	11043	13228
455	11065	13200
456	11088	13174
457	11108	13146
458	11131	13120
459	11154	13094
460	11175	13066
461	11198	13040
462	11222	13016
463	11242	12986
464	11265	12961
465	11289	12936
466	11314	12914
467	11338	12889
468	11362	12865
469	11384	12838
470	11410	12815
471	11432	12788
472	11454	12762
473	11477	12736
474	11497	12707
475	11522	12684
476	11547	12661
477	11571	12637
478	11596	12613
479	11621	12590
480	11645	12565
481	11669	12540
482	11693	12517
483	11716	12491
484	11739	12465
485	11762	12439
486	11787	12416
487	11808	12389
488	11830	12362
489	11852	12336
490	11875	12310
491	11897	12284
492	11918	12257
493	11943	12233
494	11964	12205
495	11986	12180
496	12008	12152
497	12030	12127
498	12054	12102
499	12074	12074
500	12097	12049
501	12126	12029
502	12150	12005
503	12177	11984
504	12205	11963
505	12231	11941
506	12254	11915
507	12276	11889
508	12297	11862
509	12317	11834
510	12342	11810
511	12363	11784
512	12386	11759
513	12410	11734
514	12434	11710
515	12459	11686
516	12481	11660
517	12501	11633
518	12524	11607
519	12549	11584
520	12574	11561
521	12597	11535
522	12617	11508
523	12641	11483
524	12668	11461
525	12696	11441
526	12726	11422
527	12753	11400
528	12780	11379
529	12807	11357
530	12830	11332
531	12854	11308
532	12881	11286
533	12907	11263
534	12935	11243
535	12958	11218
536	12991	11201
537	13022	11182
538	13051	11162
539	13079	11141
540	13102	11116
541	13128	11094
542	13155	11072
543	13181	11049
544	13207	11026
545	13233	11003
546	13256	10978
547	13285	10957
548	13310	10934
549	13335	10910
550	13361	10888
551	13385	10863
552	13413	10842
553	13436	10817
554	13464	10795
555	13486	10770
556	13509	10744
557	13532	10719
558	13555	10694
559	13580	10670
560	13601	10643
561	13624	10618
562	13647	10593
563	13670	10568
564	13693	10542
565	13715	10516
566	13738	10491
567	13761	10466
568	13783	10440
569	13806	10415
570	13829	10390
571	13850	10364
572	13873	10338
573	13894	10312
574	13917	10286
575	13946	10265
576	13968	10240
577	13993	10216
578	14017	10192
579	14044	10169
580	14070	10147
581	14095	10123
582	14121	10100
583	14148	10078
584	14173	10054
585	14199	10031
586	14224	10008
587	14247	9983
588	14274	9960
589	14301	9938
590	14329	9916
591	14354	9892
592	14377	9868
593	14400	9842
594	14424	9818
595	14448	9793
596	14472	9769
597	14494	9744
598	14516	9718
599	14540	9693
600	14564	9669
601	14593	9648
602	14620	9625
603	14644	9601
604	14668	9576
605	14695	9554
606	14719	9530
607	14740	9503
608	14763	9478
609	14786	9453
610	14808	9427
611	14830	9402
612	14854	9377
613	14877	9353
614	14901	9328
615	14921	9301
616	14944	9276
617	14968	9252
618	14989	9226
619	15007	9198
620	15031	9174
621	15057	9150
622	15081	9126
623	15105	9102
624	15130	9078
625	15153	9053
626	15178	9029
627	15203	9005
628	15225	8980
629	15249	8956
630	15272	8931
631	15299	8908
632	15323	8884
633	15350	8861
634	15374	8837
635	15399	8813
636	15422	8788
637	15448	8765
638	15469	8739
639	15494	8715
640	15521	8693
641	15549	8670
642	15576	8648
643	15602	8625
644	15629	8602
645	15655	8578
646	15678	8554
647	15703	8530
648	15732	8508
649	15759	8485
650	15784	8462
651	15808	8437
652	15832	8413
653	15859	8390
654	15884	8366
655	15907	8341
656	15931	8317
657	15952	8291
658	15974	8266
659	15997	8240
660	16020	8216
661	16044	8192
662	16066	8166
663	16088	8141
664	16112	8116
665	16135	8091
666	16158	8066
667	16179	8041
668	16200	8015
669	16222	7990
670	16243	7964
671	16265	7939
672	16287	7913
673	16309	7888
674	16329	7862
675	16353	7837
676	16374	7812
677	16396	7787
678	16415	7760
679	16440	7736
680	16462	7711
681	16486	7687
682	16510	7663
683	16531	7637
684	16553	7612
685	16577	7587
686	16599	7563
687	16621	7537
688	16643	7512
689	16667	7488
690	16690	7463
691	16711	7438
692	16731	7412
693	16754	7387
694	16774	7361
695	16797	7336
696	16820	7312
697	16842	7287
698	16872	7265
699	16904	7244
700	16935	7223
701	16965	7201
702	16992	7178
703	17018	7155
704	17043	7131
705	17066	7107
706	17093	7083
707	17116	7059
708	17141	7035
709	17166	7011
710	17189	6986
711	17212	6962
712	17235	6937
713	17257	6912
714	17280	6888
715	17303	6863
716	17325	6838
717	17349	6814
718	17373	6790
719	17398	6766
720	17424	6742
721	17449	6718
722	17475	6695
723	17505	6673
724	17532	6650
725	17559	6627
726	17587	6604
727	17612	6580
728	17636	6556
729	17661	6532
730	17688	6509
731	17715	6486
732	17741	6462
733	17766	6438
734	17790	6414
735	17818	6391
736	17843	6367
737	17866	6342
738	17889	6318
739	17914	6294
740	17937	6269
741	17959	6244
742	17983	6220
743	18007	6196
744	18033	6172
745	18060	6149
746	18086	6125
747	18112	6102
748	18140	6078
749	18166	6055
750	18190	6031
751	18215	6007
752	18242	5984
753	18268	5960
754	18294	5936
755	18318	5912
756	18340	5887
757	18360	5861
758	18382	5836
759	18404	5811
760	18427	5787
761	18452	5763
762	18476	5739
763	18499	5714
764	18523	5690
765	18545	5665
766	18571	5641
767	18595	5617
768	18616	5592
769	18641	5568
770	18668	5544
771	18698	5522
772	18726	5499
773	18756	5476
774	18793	5456
775	18819	5432
776	18846	5409
777	18870	5384
778	18895	5360
779	18920	5336
780	18944	5312
781	18969	5288
782	18995	5264
783	19021	5240
784	19043	5215
785	19066	5191
786	19090	5166
787	19114	5142
788	19139	5118
789	19161	5093
790	19185	5069
791	19210	5045
792	19233	5020
793	19257	4996
794	19279	4971
795	19302	4946
796	19327	4922
797	19349	4898
798	19373	4873
799	19399	4849
800	19421	4824
801	19445	4800
802	19475	4778
803	19508	4755
804	19538	4732
805	19567	4709
806	19593	4685
807	19618	4661
808	19642	4637
809	19668	4613
810	19691	4588
811	19714	4564
812	19736	4539
813	19760	4515
814	19783	4490
815	19806	4466
816	19831	4442
817	19854	4417
818	19877	4392
819	19901	4368
820	19922	4343
821	19947	4319
822	19971	4295
823	19996	4271
824	20022	4247
825	20047	4223
826	20073	4199
827	20097	4174
828	20120	4150
829	20147	4126
830	20171	4102
831	20197	4078
832	20223	4054
833	20248	4030
834	20271	4005
835	20293	3981
836	20317	3956
837	20342	3932
838	20366	3908
839	20393	3884
840	20418	3860
841	20441	3835
842	20466	3811
843	20490	3787
844	20516	3763
845	20543	3739
846	20567	3715
847	20592	3691
848	20614	3666
849	20639	3642
850	20664	3618
851	20687	3593
852	20715	3569
853	20740	3545
854	20762	3521
855	20783	3496
856	20807	3471
857	20833	3447
858	20855	3423
859	20876	3398
860	20903	3374
861	20931	3351
862	20960	3327
863	20985	3303
864	21013	3279
865	21040	3255
866	21067	3231
867	21092	3207
868	21121	3183
869	21144	3159
870	21167	3134
871	21190	3110
872	21208	3085
873	21232	3060
874	21250	3035
875	21273	3011
876	21298	2987
877	21322	2962
878	21345	2938
879	21368	2913
880	21392	2889
881	21414	2865
882	21434	2840
883	21457	2815
884	21479	2791
885	21503	2766
886	21528	2742
887	21553	2718
888	21576	2694
889	21598	2669
890	21625	2645
891	21652	2621
892	21676	2597
893	21699	2572
894	21724	2548
895	21748	2524
896	21771	2499
897	21794	2475
898	21815	2450
899	21837	2426
900	21857	2401
901	21881	2377
902	21904	2352
903	21931	2329
904	21956	2304
905	21983	2280
906	22008	2256
907	22033	2232
908	22054	2207
909	22077	2183
910	22098	2158
911	22121	2134
912	22142	2109
913	22164	2085
914	22187	2061
915	22212	2036
916	22236	2012
917	22257	1988
918	22279	1963
919	22302	1939
920	22324	1914
921	22345	1890
922	22370	1866
923	22393	1841
924	22419	1817
925	22443	1793
926	22471	1769
927	22497	1745
928	22522	1721
929	22544	1696
930	22569	1672
931	22593	1648
932	22619	1624
933	22641	1599
934	22667	1575
935	22692	1551
936	22718	1527
937	22742	1503
938	22765	1478
939	22789	1454
940	22812	1430
941	22838	1406
942	22865	1382
943	22890	1357
944	22914	1333
945	22940	1309
946	22967	1285
947	22997	1261
948	23023	1237
949	23053	1213
950	23081	1189
951	23107	1165
952	23136	1141
953	23171	1117
954	23197	1093
955	23220	1068
956	23242	1044
957	23265	1019
958	23289	995
959	23310	971
960	23331	946
961	23354	922
962	23376	898
963	23398	873
964	23423	849
965	23446	825
966	23471	800
967	23498	776
968	23527	752
969	23556	728
970	23578	704
971	23604	679
972	23628	655
973	23650	631
974	23671	606
975	23692	582
976	23715	558
977	23737	533
978	23761	509
979	23785	485
980	23807	461
981	23829	436
982	23852	412
983	23875	388
984	23900	363
985	23923	339
986	23953	315
987	23979	291
988	24002	266
989	24024	242
990	24047	218
991	24072	194
992	24095	169
993	24120	145
994	24143	121
995	24167	97
996	24191	72
997	24213	48
998	24235	24
999	24257	0
